Temperature	x1	y1
312.441	0	0
312.364	0.001	0.00445396
312.285	0.002	0.00885297
312.206	0.003	0.013198
312.129	0.004	0.01749
311.976	0.006	0.0259186
311.827	0.008	0.034146
311.68	0.01	0.0421791
310.99	0.02	0.0796514
310.363	0.03	0.113146
309.793	0.04	0.143255
308.796	0.06	0.195163
307.958	0.08	0.238332
307.246	0.1	0.274827
305.877	0.15	0.345663
304.913	0.2	0.397605
304.21	0.25	0.438133
303.686	0.3	0.471466
303.287	0.35	0.500181
302.981	0.4	0.525974
302.748	0.45	0.550043
302.575	0.5	0.573307
302.454	0.55	0.596534
302.384	0.6	0.620438
302.366	0.65	0.645752
302.407	0.7	0.673312
302.516	0.75	0.704166
302.712	0.8	0.739743
303.022	0.85	0.782152
303.491	0.9	0.834768
303.739	0.92	0.859861
304.032	0.94	0.88804
304.378	0.96	0.920051
304.575	0.97	0.937796
304.791	0.98	0.956904
305.027	0.99	0.977564
305.077	0.992	0.981901
305.128	0.994	0.986311
305.18	0.996	0.990796
305.206	0.997	0.993067
305.233	0.998	0.995358
305.26	0.999	0.997669
305.284	1	1
