Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
273.16	0.00061165	55.497	0.018019	-1.5169e-12	1.1021e-05	-5.3169e-12	75.978	76.023	1402.3	-0.24142	1791.4	0.55560	0.075646	0.00026947	3711.0	42.785	45.055	164.94	25.553	33.947	409.00	592.65	8.9458	0.016761
273.78	0.00063992	55.499	0.018018	0.047368	0.047379	0.17321	75.953	75.985	1405.4	-0.24081	1753.1	0.55718	0.075559	0.00028128	3555.1	42.800	45.075	164.64	25.562	33.958	409.45	580.97	8.9636	0.016801
274.41	0.00066933	55.501	0.018018	0.094712	0.094724	0.34594	75.928	75.948	1408.5	-0.24021	1716.2	0.55875	0.075472	0.00029355	3406.6	42.816	45.096	164.34	25.571	33.969	409.90	569.55	8.9815	0.016841
275.03	0.00069994	55.502	0.018017	0.14203	0.14205	0.51820	75.902	75.914	1411.5	-0.23962	1680.5	0.56029	0.075384	0.00030628	3265.0	42.831	45.116	164.04	25.581	33.981	410.35	558.36	8.9995	0.016881
275.65	0.00073177	55.503	0.018017	0.18934	0.18935	0.68999	75.875	75.881	1414.5	-0.23904	1645.9	0.56182	0.075296	0.00031950	3129.9	42.847	45.137	163.75	25.590	33.992	410.80	547.41	9.0175	0.016921
276.28	0.00076489	55.504	0.018017	0.23662	0.23663	0.86132	75.847	75.849	1417.4	-0.23846	1612.5	0.56332	0.075208	0.00033321	3001.1	42.862	45.158	163.46	25.599	34.003	411.25	536.69	9.0356	0.016961
276.90	0.00079932	55.504	0.018017	0.28388	0.28389	1.0322	75.819	75.819	1420.3	-0.23789	1580.2	0.56480	0.075120	0.00034743	2878.3	42.877	45.178	163.16	25.609	34.015	411.70	526.20	9.0537	0.017002
277.52	0.00083511	55.504	0.018017	0.33112	0.33114	1.2026	75.790	75.790	1423.2	-0.23733	1548.8	0.56627	0.075031	0.00036218	2761.1	42.893	45.199	162.87	25.618	34.026	412.15	515.93	9.0719	0.017042
278.15	0.00087232	55.504	0.018017	0.37835	0.37836	1.3726	75.760	75.763	1426.0	-0.23677	1518.5	0.56771	0.074942	0.00037747	2649.2	42.908	45.219	162.59	25.628	34.038	412.60	505.88	9.0901	0.017083
278.77	0.00091098	55.503	0.018017	0.42556	0.42557	1.5421	75.730	75.737	1428.8	-0.23622	1489.1	0.56914	0.074853	0.00039333	2542.4	42.924	45.240	162.30	25.638	34.050	413.04	496.05	9.1084	0.017124
